scheme_name,cagr_3y,sharpe_ratio,alpha_annual_pct,expense_ratio_pct,max_drawdown_pct,score_100
ICICI Pru Liquid Fund - Regular - Growth,7.3848286009966735,0.9041623305389642,6.746210411099539,0.74,-0.09773140045925681,70.54380664652568
HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.65877484192228,0.31160409740522227,11.98910097121797,0.78,-21.117279560132122,67.82477341389728
UTI Nifty 50 Index Fund - Regular - Growth,19.644846512354807,0.8328147683762688,17.048756803412697,1.57,-10.859862152502323,65.40785498489426
ICICI Pru Bluechip Fund - Regular - Growth,13.981096072029464,0.8125023019488139,17.703302365844074,1.42,-13.897862823061635,63.746223564954676
UTI Flexi Cap Fund - Regular - Growth,24.769411664629448,0.632319243278044,16.211256794033254,1.64,-21.53982711238323,63.066465256797585
Axis Bluechip Fund - Direct - Growth,20.178170681889963,0.14404122210428397,8.232801295222094,0.75,-21.75139637014823,60.72507552870091
Nippon India ETF Nifty 50 BeES,19.402919165489642,0.6803950621402518,15.136354648239239,0.89,-11.650624505409093,60.57401812688822
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.654294897613962,0.9393621577599311,20.873010086942337,1.52,-15.27259422823477,60.196374622356494
ICICI Pru Value Discovery Fund - Regular - Growth,17.83818890140243,0.6621241011051734,16.25385327998104,1.41,-19.82565826298267,59.818731117824775
HDFC Top 100 Fund - Direct Plan - Growth,18.110275008271472,0.7895428321771213,17.729756732847978,0.92,-15.200013055606393,54.53172205438065
Nippon India Large Cap Fund - Direct - Growth,21.245440307560017,0.6596198173038668,15.643835948169668,0.72,-18.629743138595508,50.52870090634441
SBI Bluechip Fund - Direct Plan - Growth,15.731340547715856,0.9677516848309506,19.86859936686296,0.66,-11.8034935027643,49.84894259818731
ABSL Frontline Equity Fund - Regular - Growth,28.669133034127125,1.0410608155745142,21.399784776051213,1.6,-11.291596329323077,47.507552870090635
DSP Midcap Fund - Regular - Growth,26.87970659799688,1.1434895599140866,26.598577542043046,1.61,-17.24810575345138,42.29607250755287
Nippon India Large Cap Fund - Regular - Growth,22.563239101294542,1.0959175992660923,21.829397904608644,1.51,-17.41407508665723,41.918429003021146
SBI Bluechip Fund - Regular Plan - Growth,30.348209143813353,1.222947214685128,23.201007160635083,1.54,-15.012385498645333,35.57401812688822
Mirae Asset Tax Saver Fund - Regular - Growth,28.392401896554876,1.2463441409620546,28.27036785246582,1.6,-16.396742946932633,35.42296072507553
DSP Small Cap Fund - Regular - Growth,26.931964862637315,0.9579170598994395,30.05787817097677,1.52,-31.17190030063422,33.30815709969788
SBI Small Cap Fund - Regular Plan - Growth,26.070491207565148,0.9533324621776287,30.336965386983323,1.43,-28.706005721764555,33.08157099697885
ICICI Pru Bluechip Fund - Direct - Growth,33.14477418812227,1.0405688566490552,21.19482701352573,0.8,-12.588275606922513,32.3262839879154
Kotak Flexicap Fund - Regular - Growth,29.691887767928172,1.3194419817117222,27.330465038306055,1.45,-12.97396816518679,29.305135951661633
Mirae Asset Large Cap Fund - Regular - Growth,34.16270308330907,1.46250402900308,26.98375144191807,1.46,-11.26572907502827,27.19033232628399
HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.44689799394218,1.1043517629506803,27.19535450128533,1.38,-16.21720857464485,26.586102719033235
Axis Midcap Fund - Regular - Growth,35.33436574912896,1.008625789131447,26.07666908004223,1.38,-20.960883862039193,26.283987915407852
ICICI Pru Midcap Fund - Regular - Growth,31.517892672156343,1.1905585963067509,29.26358334175106,1.36,-18.188513572116292,21.752265861027187
